transaction_id,customer_id,age,personal_income,family_income,credit_score,loan_amount,has_loan,owns_home,transaction_amount,account_age_days,num_prev_transactions,avg_transaction_value,internet_usage_hrs,mobile_usage_hrs,is_fraud,fraud_amount,gender_Female,gender_Male,education_Bachelor,education_High School,education_Master,education_Other,education_PhD,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Widowed,region_East,region_North,region_South,region_West,Age Group_18–26,Age Group_26–34,Age Group_34–42,Age Group_42–50,Age Group_50–58,Age Group_58–66,Age Group_66–74,Age Group_74–82,Age Group_82–90,transaction_type_ATM,transaction_type_In-Store,transaction_type_Online,transaction_type_Transfer,device_type_ATM,device_type_Desktop,device_type_Mobile,device_type_POS
1,9889,57.5,59471.88,89963.84,430,8477.09,0,0,14678.0,574,8,3735.04,3.4,1.9,0,0.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2,8368,47.9,65603.22,84225.79,610,32492.24,0,1,475.07,2431,38,1464.22,3.0,4.9,1,372.4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
3,5818,59.7,43807.93,70351.92,608,15542.71,0,0,616.23,4868,114,4067.04,9.4,4.9,1,610.56,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4,1027,72.8,68481.22,84617.72,761,1651.99,1,0,2174.51,2394,56,1135.61,5.6,9.0,0,0.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
5,5254,46.5,50523.21,93876.19,619,16687.33,0,0,6730.62,1319,138,5773.06,1.9,2.7,1,6571.32,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6,6635,46.5,59710.95,105239.69,681,47723.37,0,0,4949.46,3795,102,419.11,9.3,4.0,1,3430.31,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
7,5305,73.7,70925.68,73232.87,661,10093.98,0,1,1397.83,1905,177,5277.92,3.2,9.0,1,1248.91,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
8,6336,61.5,60128.45,76185.78,480,7028.8,0,0,3170.57,4458,169,8864.82,4.6,5.8,0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
9,1895,43.0,51272.28,58824.34,711,3097.31,0,0,291.78,4717,286,8380.35,5.9,2.7,1,157.96,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
10,3793,58.1,57807.8,78057.44,667,3284.42,1,1,7582.99,812,261,8828.99,0.9,3.2,0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
11,4757,43.0,58232.74,86981.17,691,11339.86,0,0,6668.19,569,223,9221.27,2.3,2.0,0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
12,4581,43.0,52599.78,60855.1,850,18110.96,1,0,357.61,2812,199,1054.23,7.3,5.2,1,214.37,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
13,4403,53.6,54824.08,70996.18,483,1681.02,0,1,711.7,2698,211,1296.18,3.6,7.6,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
14,5443,21.3,91972.94,106913.58,788,56124.93,0,0,211.07,4744,287,5574.5,6.0,9.1,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
15,9322,24.1,71218.39,104327.4,627,28140.85,1,1,634.13,3967,180,8940.79,3.1,1.3,1,342.08,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16,3235,41.6,54090.39,85130.56,673,17667.95,0,1,3385.16,2986,250,9743.75,3.8,7.2,1,1847.2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
17,2221,34.8,73939.09,93113.02,646,35256.29,1,0,950.65,3752,231,472.16,7.6,5.4,1,678.48,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,1312,54.7,53323.61,85975.92,616,1671.69,0,1,185.1,3897,23,3564.18,4.9,4.3,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
19,6770,36.4,83462.49,105262.29,604,12957.32,0,0,837.79,1863,48,2136.81,3.3,4.0,0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,9787,28.8,67392.84,93318.02,676,19890.08,1,0,7967.4,2176,109,7562.1,2.6,0.5,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21,6281,72.0,57853.96,112955.74,529,35281.28,0,1,1986.79,2200,296,6405.54,2.8,6.6,1,1558.79,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
22,7396,46.6,68954.34,119061.25,710,30600.48,1,1,1076.26,3421,6,1207.68,6.5,1.7,1,1037.57,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
23,4986,51.0,28582.48,39088.76,617,6488.84,0,0,364.34,1646,38,4840.39,5.5,3.1,1,278.76,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
24,9383,28.6,37464.65,79910.64,560,56563.78,1,1,8562.81,4647,169,6857.55,1.7,6.0,1,5795.27,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
25,3803,41.8,36121.5,78292.45,614,2655.68,0,1,3439.05,946,283,7792.26,4.2,0.5,1,3090.26,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26,2532,51.7,62858.86,75634.91,751,41610.22,0,1,661.12,4842,203,210.33,3.9,1.7,0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
27,9438,32.7,94650.3,136931.96,607,70768.02,1,1,145.29,2786,273,8905.79,4.6,8.0,0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28,5175,55.6,104626.0,157694.98,679,3899.71,1,0,116.58,1966,244,5697.12,2.8,5.3,1,100.45,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
29,9876,41.0,72761.02,85922.85,592,25607.44,1,0,256.53,4072,47,8120.97,6.2,3.3,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30,6218,45.6,70016.89,86254.35,711,822.39,1,1,1738.66,3121,249,8081.3,4.0,5.3,1,1557.6,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
31,2385,41.0,23978.85,69243.77,705,10398.1,1,0,5283.5,4685,79,1906.63,4.7,6.7,1,5224.52,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
32,6487,77.8,49146.52,83218.95,798,14525.12,0,1,1373.31,998,110,1110.62,2.4,7.8,0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
33,3230,49.8,44244.32,82516.47,636,17380.76,0,0,3702.32,3394,13,7215.66,2.5,2.2,0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
34,9723,34.1,47583.05,82691.89,703,54957.84,0,0,1180.77,3233,90,1572.7,9.3,2.4,1,1096.63,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35,4617,62.3,56637.12,92497.56,658,22310.13,0,0,2466.0,919,280,8500.88,7.6,6.5,1,1233.23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
36,1713,31.7,50558.19,60661.11,754,13127.74,0,1,2632.59,822,221,7264.63,3.9,6.6,1,1793.36,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,8751,53.1,20414.0,66123.77,592,33180.45,0,0,382.23,3488,73,8419.84,7.1,1.6,0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
38,3503,20.6,74958.21,122502.06,710,60128.92,0,1,896.38,1011,234,2997.14,6.4,2.5,1,716.98,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39,5766,30.1,38545.14,65104.28,634,446.26,1,0,2028.37,3561,260,3172.81,2.7,4.5,1,1194.28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
40,5462,53.0,64784.94,94132.78,645,80935.41,0,0,146.64,3559,113,6715.5,2.6,5.1,1,95.59,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
41,5719,61.1,101481.65,108515.04,657,1801.39,0,0,897.39,831,46,324.15,5.3,5.1,0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
42,2383,52.6,41612.31,79326.13,670,33681.8,0,1,1530.57,72,274,7267.7,4.5,1.6,0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
43,2005,48.3,15000.0,53580.86,641,6579.38,1,0,11158.44,3379,43,8359.47,3.2,5.1,1,10218.89,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
44,7923,45.5,54279.92,83347.05,667,2835.41,1,0,1286.94,1807,208,4157.48,5.4,3.2,1,1243.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
